id,key,value,type
244080443,capital,4,regular
244080443,ADM1,30,gns
244080443,DSG,ADM2,gns
244080443,UFI,-1907162,gns
244080443,UNI,6722114,gns
244080443,continent,Asia,is_in
244080443,country,China,is_in
244080443,country_code,CN,is_in
244080443,iso_3166_2,CN-44,is_in
244080443,name,guangzhoushi,regular
244080443,ca,Canton,name
244080443,cs,Kuang-čou,name
244080443,da,Guangzhou,name
244080443,de,Guangzhou,name
244080443,en,Guangzhou,name
244080443,eo,Kantono,name
244080443,es,Cantón,name
244080443,fr,Canton,name
244080443,he,גואנגג'ואו,name
244080443,io,Guangzhou,name
244080443,ja,guangzhoushi,name
244080443,ka,გუანჯოუ,name
244080443,kn,ಕ್ವಾಂಗ್ಕ್ಸೌ,name
244080443,lt,Guangdžou,name
244080443,pl,Kanton,name
244080443,pt,Cantão,name
244080443,ru,Гуанчжоу,name
244080443,sr,Гуангџоу,name
244080443,tt,Kanton,name
244080443,uk,Гуанчжоу,name
244080443,vi,Quảng Châu,name
244080443,zh,guangzhoushi,name
244080443,zh_pinyin,Guăngzhōu Shì,name
244080443,cs,Kanton,old_name
244080443,en,Canton,old_name
244080443,io,Kanton,old_name
244080443,nl,Kanton,old_name
244080443,ru,Кантон,old_name
244080443,place,city,regular
244080443,population,14043500,regular
244080443,wikidata,Q16572,regular
244080443,wikipedia,en:Guangzhou,regular
244084509,ADM1,30,gns
244084509,DSG,ADM3,gns
244084509,UFI,6402151,gns
244084509,UNI,6721979,gns
244084509,name,haizhuqu,regular
244084509,en,Haizhu District,name
244084509,fr,Disctrict de Hǎizhū,name
244084509,vi,Hải Châu,name
244084509,zh,haizhuqu,name
244084509,zh_pinyin,Hǎizhū qū,name
244084509,vi,Quận Hải Châu,official_name
244084509,place,city,regular
244084510,ADM1,30,gns
244084510,DSG,ADM3,gns
244084510,UFI,6402152,gns
244084510,UNI,6721981,gns
244084510,name,tianhequ,regular
244084510,vi,Thiên Hà,name
244084510,zh,tianhequ,name
244084510,zh_pinyin,Tianhe Qu,name
244084510,vi,Quận Thiên Hà,official_name
244084510,place,city,regular
244084511,ADM1,30,gns
244084511,DSG,ADM3,gns
244084511,UFI,6402153,gns
244084511,UNI,6721983,gns
244084511,name,huangpuqu,regular
244084511,en,Huangpu District,name
244084511,fr,Arrondissement huángpǔ,name
244084511,vi,Hoàng Bộ,name
244084511,zh,huangpuqu,name
244084511,zh_pinyin,huángpǔ qū,name
244084511,vi,Quận Hoàng Bộ,official_name
244084511,place,city,regular
244085034,ADM1,30,gns
244085034,DSG,ADM3,gns
244085034,UFI,6402155,gns
244085034,UNI,6721987,gns
244085034,name,liwanqu,regular
244085034,en,Lai Wan Disctrict,name
244085034,fr,Disctrict de Lai Wan,name
244085034,vi,Lệ Loan,name
244085034,zh-yue,liwanqu,name
244085034,zh_pinyin,Lìwān qū,name
244085034,place,city,regular
267600661,name,guangzhoudong,regular
267600661,en,Guangzhou East,name
267600661,zh,guangzhoudong,name
267600690,leisure,park,regular
267600888,tourism,artwork,regular
267601063,amenity,bank,regular
267601063,name,gongshangyinhang,regular
279959994,exit_to,daguanlu/guangzhoukexuecheng,regular
279959994,highway,motorway_junction,regular
279959994,ref,10,regular
279960010,exit_to,S81 nan/aotizhongxin / S105 /panyu（chukouweiyuzuoce Exit's on the left）,regular
279960010,highway,motorway_junction,regular
279960010,ref,15,regular
279960147,barrier,toll_booth,regular
279960147,name,xinzhouzhan,regular
279960245,barrier,toll_booth,regular
279960245,name,xinzhouzhan,regular
280160653,amenity,fuel,regular
280160653,name,zhongguoshiyou PetroChina,regular
280160653,en,PetroChina,name
280160653,zh,zhongguoshiyouguangshenjiayouzhan,name
294974218,exit_to,G4/G15/daguanlu/shenzhen,regular
294974218,highway,motorway_junction,regular
294974218,ref,22,regular
299852243,name,zhujiangxincheng,regular
299852243,en,Zhujiang New Town,name
299852243,vi,Châu Giang Tân Thành,name
299852243,zh,zhujiangxincheng,name
299852243,place,quarter,regular
320573892,highway,crossing,regular
335938403,amenity,bus_station,regular
335938403,name,CTS Hong Kong Bus,regular
335938409,name,zhongguodajiudian Marriott China,regular
335938409,en,China Hotel Marriott,name
335938409,tourism,hotel,regular
335938588,amenity,toilets,regular
335938598,name,Liwan Museum,regular
335938598,tourism,museum,regular
335938599,amenity,toilets,regular
335938600,tourism,hotel,regular
335938603,name,7 Days Inn,regular
335938603,tourism,hotel,regular
369497728,china_class,zhen,regular
369497728,continent,Asia,is_in
369497728,name,jianggaozhen,regular
369497728,en,Jianggao,name
369497728,vi,Giang Cao,name
369497728,place,town,regular
369497728,source,GNS,regular
370231438,highway,motorway_junction,regular
370231438,ref,18,regular
381943977,barrier,toll_booth,regular
381944013,exit_to,daguanlu（beixing）/kexuecheng/guangpuxilu/daguanzhonglu,regular
381944013,highway,motorway_junction,regular
381944013,ref,9B,regular
393738009,aerialway,station,regular
393738020,aerialway,station,regular
393738020,access,both,aerialway
393738020,name,baiyunsuodao,regular
393738031,name,baiyunwanwang,regular
393738031,en,Bai Yun Dawn Lookout,name
393738031,tourism,viewpoint,regular
393738167,amenity,cafe,regular
393740091,highway,bus_stop,regular
393740091,name,baiyunxianguanzhan,regular
393740091,en,Baiyun Xianguan,name
393740091,zh,baiyunxianguanzhan,name
393740621,name,guangzhouhaihangweisitingjiudian,regular
393740621,en,Westin,name
393740621,stars,5,regular
393740621,tourism,hotel,regular
394574645,barrier,gate,regular
394574645,bicycle,yes,regular
394574645,foot,yes,regular
394705186,man_made,surveillance,regular
394705197,amenity,restaurant,regular
394705197,cuisine,indian,regular
394705197,name,Taste of India,regular
394705221,amenity,restaurant,regular
394705221,cuisine,japanese,regular
394705221,name,Tairyo,regular
395263080,layer,1,regular
395263081,layer,1,regular
395263082,layer,1,regular
395263083,layer,1,regular
395263084,layer,1,regular
395263085,layer,1,regular
395263086,layer,1,regular
395263087,layer,1,regular
395263088,layer,1,regular
395263089,layer,1,regular
395263090,layer,1,regular
395263091,layer,1,regular
395263092,layer,1,regular
395263093,layer,1,regular
395263094,layer,1,regular
395263095,layer,1,regular
395263096,layer,1,regular
395263097,layer,1,regular
395263099,layer,1,regular
395263100,layer,1,regular
395263101,layer,1,regular
395263102,layer,1,regular
395263103,layer,1,regular
395263104,layer,1,regular
395263105,layer,1,regular
395263106,layer,1,regular
395263107,layer,1,regular
395263131,highway,crossing,regular
445776233,exit_to,keyunlu/S105nanshagangkuaixian/guangjiaohuizhanguan/daxuecheng,regular
445776233,highway,motorway_junction,regular
445776233,ref,20,regular
445776541,barrier,toll_booth,regular
445776541,name,xinzhouzhan,regular
479726701,exit_to,S41/neihuanlu/G4/baiyunjichang/guangyuanxilu/sanyuanli,regular
479726701,highway,motorway_junction,regular
479726701,ref,6,regular
482512912,crossing_ref,zebra,regular
482512912,highway,crossing,regular
482703259,barrier,toll_booth,regular
482703485,highway,motorway_junction,regular
482703485,name,S81huanchenggaosu/foshan/shenzhen,regular
482703485,en,"S81, Foshan, Shenzhen",name
482703485,ref,15,regular
482703486,highway,motorway_junction,regular
482703486,name,S81huanchenggaosu/foshan/shenzhen,regular
482703486,en,"S81, Foshan, Shenzhen",name
482703486,ref,15,regular
482703486,name,traffic_sign,source
482703959,highway,motorway_junction,regular
482703959,name,Xinzhou Interchange,regular
482735863,barrier,toll_booth,regular
482735867,barrier,toll_booth,regular
482735930,barrier,toll_booth,regular
482735931,barrier,toll_booth,regular
527989057,highway,motorway_junction,regular
527989057,name,guangyuankuaisu/shahe/wushanlu/xintang,regular
527989057,en,Guangyuan Expwy/Wushan Rd/Xintang,name
527989057,ref,17,regular
527989057,name,traffic_sign,source
527989099,barrier,toll_booth,regular
582426185,usage,main,regular
623245937,railway,level_crossing,regular
623883183,barrier,toll_booth,regular
623887569,barrier,toll_booth,regular
624543062,highway,motorway_junction,regular
624543062,ref,1A/1B/1C/1D,regular
624543105,highway,motorway_junction,regular
624543105,ref,1BC,regular
625087863,highway,motorway_junction,regular
625087863,name,S81（dong）/S15/shahelijiao/shenzhen,regular
625087863,en,"S81(E), S15, Shahe Interchange, Shenzhen",name
625087863,ref,1B,regular
627329367,barrier,toll_booth,regular
