id,user,uid,version,changeset,timestamp
9761876,acette,114,15,53342371,2017-10-29T13:43:47Z
9762579,ff5722,3450290,12,45564218,2017-01-27T15:41:48Z
9763438,acette,114,36,52560189,2017-10-02T10:38:19Z
9763625,fdulezi,2214848,30,52816123,2017-10-11T08:38:50Z
9763826,ff5722,3450290,10,45373163,2017-01-22T16:34:25Z
9764084,Popolon,27454,4,13250853,2012-09-25T18:54:50Z
9765933,nyuriks,339581,7,46604504,2017-03-05T19:37:07Z
9767063,sebastic,665748,20,47917785,2017-04-18T20:13:26Z
9767173,ff5722,3450290,16,45564919,2017-01-27T16:03:58Z
9768011,Popolon,27454,4,10037378,2011-12-04T20:58:12Z
9768213,acette,114,28,54208708,2017-11-30T15:50:50Z
9772653,sn0wblind,258977,10,42746696,2016-10-09T04:56:09Z
24617126,yangjiaozhongshihei,3614011,8,55257546,2018-01-08T08:23:18Z
25680211,sn0wblind,258977,20,36723263,2016-01-21T16:16:00Z
25696932,karitotp,2748195,8,37848857,2016-03-15T16:59:57Z
26902123,sn0wblind,258977,14,53332992,2017-10-29T05:56:04Z
26902126,Tcharvasky,872239,6,19323936,2013-12-07T15:55:41Z
26908499,greecemapper,23785,5,13736600,2012-11-03T16:53:10Z
27317865,snow_sword_SZJ,2506922,12,41120756,2016-07-30T01:58:50Z
27317901,yangjiaozhongshihei,3614011,21,41750013,2016-08-28T07:49:02Z
27317938,yangjiaozhongshihei,3614011,8,41777656,2016-08-29T13:21:13Z
27318112,yangjiaozhongshihei,3614011,31,46929814,2017-03-17T14:30:49Z
27318117,yangjiaozhongshihei,3614011,24,42406859,2016-09-24T15:28:18Z
27318126,yangjiaozhongshihei,3614011,27,46929814,2017-03-17T14:30:50Z
27318149,yangjiaozhongshihei,3614011,19,43320001,2016-11-01T07:27:09Z
27318168,yangjiaozhongshihei,3614011,13,42978054,2016-10-18T08:39:51Z
27318174,acette,114,19,54085831,2017-11-26T03:13:42Z
27336684,DASANBANDIGUO,5063414,22,45214044,2017-01-16T12:07:53Z
27336706,acette,114,11,54717883,2017-12-18T01:29:30Z
27336730,acette,114,20,54208708,2017-11-30T15:50:49Z
27336736,yangjiaozhongshihei,3614011,5,41982374,2016-09-07T15:55:03Z
27336746,pieleric,352940,5,13412105,2012-10-08T12:42:06Z
27336772,fdulezi,2214848,5,26750161,2014-11-13T07:10:52Z
27336775,acette,114,3,54269323,2017-12-02T13:25:52Z
27336776,acette,114,4,54207307,2017-11-30T15:03:52Z
27336782,NZGraham,1224467,5,39677905,2016-05-31T00:07:58Z
27336785,acette,114,8,53397465,2017-10-31T14:29:01Z
27336876,acette,114,7,53710639,2017-11-12T11:50:42Z
27384557,ww9980,2740122,11,33716863,2015-09-01T00:15:53Z
29117856,fdulezi,2214848,8,24384175,2014-07-27T13:13:13Z
29118093,yangjiaozhongshihei,3614011,22,55048977,2017-12-31T01:59:34Z
29118096,yangjiaozhongshihei,3614011,17,44183585,2016-12-05T13:32:21Z
29140830,acette,114,11,50933620,2017-08-08T05:33:38Z
29140969,NZGraham,1224467,5,39677905,2016-05-31T00:07:53Z
29141057,yangjiaozhongshihei,3614011,3,42444614,2016-09-26T12:57:22Z
29141094,Janjko,244754,6,38227843,2016-04-01T14:46:04Z
29141189,yangjiaozhongshihei,3614011,7,46929814,2017-03-17T14:30:50Z
29141657,acette,114,14,56310166,2018-02-13T02:01:42Z
29141670,yangjiaozhongshihei,3614011,12,43376194,2016-11-03T11:21:23Z
29141762,acette,114,4,56310166,2018-02-13T02:01:42Z
29142233,yangjiaozhongshihei,3614011,5,43055189,2016-10-21T09:54:33Z
29162424,fdulezi,2214848,12,27837706,2015-01-01T10:57:21Z
29163006,fdulezi,2214848,8,24806671,2014-08-17T13:00:56Z
29163071,fdulezi,2214848,16,56678342,2018-02-26T05:40:52Z
29165179,yangjiaozhongshihei,3614011,11,44183585,2016-12-05T13:32:21Z
29165238,acette,114,13,51591165,2017-08-30T19:20:10Z
29165414,yangjiaozhongshihei,3614011,27,52217866,2017-09-20T17:18:14Z
29165515,acette,114,21,49044356,2017-05-28T12:21:23Z
29167398,acette,114,12,52111576,2017-09-17T08:22:51Z
29327738,acette,114,12,54151257,2017-11-28T14:50:40Z
29327987,Seandebasti,550560,12,53687069,2017-11-11T10:13:23Z
29464003,sn0wblind,258977,8,30228773,2015-04-15T07:59:28Z
29487634,acette,114,6,52108158,2017-09-17T03:29:37Z
29487636,chayunkadun,6464968,15,51047850,2017-08-12T01:33:03Z
29487638,acette,114,8,54269323,2017-12-02T13:25:53Z
29487639,acette,114,6,54269323,2017-12-02T13:25:53Z
29490355,ww9980,2740122,4,48004082,2017-04-21T13:56:24Z
29490356,Popolon,27454,3,13250853,2012-09-25T18:54:42Z
29490791,ff5722,3450290,7,45528587,2017-01-26T20:57:23Z
29490792,Seandebasti,550560,5,53693018,2017-11-11T15:17:24Z
30431657,yangjiaozhongshihei,3614011,9,41664689,2016-08-24T14:21:06Z
30431658,gnastyle,1595233,40,51922808,2017-09-10T22:59:50Z
30440809,yangjiaozhongshihei,3614011,19,42230032,2016-09-17T16:14:17Z
30440810,acette,114,13,53317013,2017-10-28T12:41:40Z
30440811,acette,114,4,51769676,2017-09-06T05:16:56Z
30440812,acette,114,3,51668974,2017-09-02T12:42:18Z
30440813,yangjiaozhongshihei,3614011,20,42767524,2016-10-10T03:39:37Z
30440814,acette,114,5,53317220,2017-10-28T12:53:25Z
30440815,Helmchen42,1817244,3,22348063,2014-05-15T08:41:26Z
30440816,acette,114,9,51992831,2017-09-13T05:33:36Z
30440818,user_24359,24359,1,831317,2009-01-24T15:33:03Z
30678899,CnEnTranslateBot,7490760,10,55533223,2018-01-17T21:05:19Z
30678900,CnEnTranslateBot,7490760,9,55533223,2018-01-17T21:05:19Z
33506649,yfl,166221,2,2362762,2009-09-03T19:21:01Z
33506650,yangjiaozhongshihei,3614011,5,44397753,2016-12-14T13:36:34Z
33506651,Luis36995,1829683,4,37746117,2016-03-10T21:15:17Z
33506652,yangjiaozhongshihei,3614011,4,44397753,2016-12-14T13:36:34Z
33506653,yangjiaozhongshihei,3614011,5,44397753,2016-12-14T13:36:34Z
33506654,yangjiaozhongshihei,3614011,4,44398440,2016-12-14T14:01:36Z
33506657,yangjiaozhongshihei,3614011,6,42496443,2016-09-28T14:46:21Z
33506659,Tcharvasky,872239,3,35927404,2015-12-13T14:56:12Z
33506660,Tcharvasky,872239,3,35927404,2015-12-13T14:56:15Z
33506663,Tcharvasky,872239,3,35927404,2015-12-13T14:56:15Z
33506664,Tcharvasky,872239,4,35927404,2015-12-13T14:56:12Z
33506665,yangjiaozhongshihei,3614011,6,44397753,2016-12-14T13:36:35Z
33506666,Tcharvasky,872239,3,35927404,2015-12-13T14:56:15Z
33506667,Tcharvasky,872239,3,35927404,2015-12-13T14:56:13Z
33506668,yangjiaozhongshihei,3614011,3,44397753,2016-12-14T13:36:34Z
33545341,Tcharvasky,872239,2,17366172,2013-08-16T00:03:32Z
33545342,yfl,166221,2,2361705,2009-09-03T17:48:56Z
33545344,Tcharvasky,872239,7,19323936,2013-12-07T15:55:41Z
33545345,Tcharvasky,872239,6,19323936,2013-12-07T15:52:00Z
33545346,yangjiaozhongshihei,3614011,6,41486042,2016-08-16T09:58:20Z
33545347,Tcharvasky,872239,3,19323936,2013-12-07T15:52:00Z
33545349,yangjiaozhongshihei,3614011,5,42496443,2016-09-28T14:46:22Z
33545350,yfl,166221,2,2361705,2009-09-03T17:48:52Z
33545352,shaohua,358034,5,15405658,2013-03-18T09:34:13Z
33545353,yangjiaozhongshihei,3614011,6,41486042,2016-08-16T09:58:20Z
33545354,shaohua,358034,5,15405658,2013-03-18T09:34:13Z
33563313,yangjiaozhongshihei,3614011,6,42978354,2016-10-18T08:54:51Z
33563315,acette,114,7,43874034,2016-11-22T15:58:51Z
34323862,yangjiaozhongshihei,3614011,14,41944868,2016-09-06T02:58:03Z
34323864,yangjiaozhongshihei,3614011,14,43382989,2016-11-03T16:14:19Z
34323868,yangjiaozhongshihei,3614011,10,43280747,2016-10-30T10:35:09Z
34323870,yangjiaozhongshihei,3614011,10,42273435,2016-09-19T15:38:07Z
34323871,De Idstaaner,17068,1,1149542,2009-05-11T09:57:52Z
34323872,De Idstaaner,17068,1,1149542,2009-05-11T09:57:52Z
34323873,De Idstaaner,17068,1,1149542,2009-05-11T09:57:52Z
34323874,De Idstaaner,17068,1,1149542,2009-05-11T09:57:52Z
34323875,De Idstaaner,17068,1,1149542,2009-05-11T09:57:53Z
34323876,yangjiaozhongshihei,3614011,6,42712418,2016-10-07T14:19:57Z
34323880,tommydragon,2620510,3,54813639,2017-12-21T12:36:55Z
34323883,De Idstaaner,17068,1,1149542,2009-05-11T09:57:55Z
34323884,De Idstaaner,17068,1,1149542,2009-05-11T09:57:55Z
34323885,De Idstaaner,17068,1,1149542,2009-05-11T09:57:55Z
34323886,De Idstaaner,17068,1,1149542,2009-05-11T09:57:56Z
34323887,acette,114,6,48058122,2017-04-23T11:59:35Z
34323888,Prot D,748291,2,13899693,2012-11-16T21:49:37Z
34323889,De Idstaaner,17068,1,1149542,2009-05-11T09:57:58Z
34323890,De Idstaaner,17068,1,1149542,2009-05-11T09:57:58Z
34323891,De Idstaaner,17068,1,1149542,2009-05-11T09:57:59Z
34323893,fdulezi,2214848,2,40294190,2016-06-26T06:11:43Z
34323896,De Idstaaner,17068,1,1149542,2009-05-11T09:58:01Z
34323897,De Idstaaner,17068,1,1149542,2009-05-11T09:58:01Z
34323898,De Idstaaner,17068,1,1149542,2009-05-11T09:58:01Z
34323899,De Idstaaner,17068,1,1149542,2009-05-11T09:58:02Z
34323900,acette,114,2,50882010,2017-08-06T11:16:29Z
34323901,acette,114,2,48056028,2017-04-23T10:33:01Z
34323902,acette,114,6,57076427,2018-03-11T09:45:07Z
34374856,yangjiaozhongshihei,3614011,8,41944847,2016-09-06T02:53:56Z
34374857,xiaodaijun,6088992,7,49093168,2017-05-30T06:17:05Z
34374859,yangjiaozhongshihei,3614011,25,42547999,2016-09-30T17:24:47Z
34374860,yangjiaozhongshihei,3614011,14,42265324,2016-09-19T09:20:50Z
34374861,yangjiaozhongshihei,3614011,13,55257546,2018-01-08T08:23:19Z
34374862,yangjiaozhongshihei,3614011,15,55257546,2018-01-08T08:23:20Z
34374864,gnastyle,1595233,9,51922978,2017-09-10T23:15:54Z
34374865,yangjiaozhongshihei,3614011,5,42932589,2016-10-16T09:52:08Z
34374866,De Idstaaner,17068,1,1162197,2009-05-12T10:49:59Z
34374867,fdulezi,2214848,3,35707465,2015-12-02T14:37:35Z
34374868,De Idstaaner,17068,1,1162197,2009-05-12T10:50:00Z
34374869,De Idstaaner,17068,1,1162197,2009-05-12T10:50:00Z
34374870,De Idstaaner,17068,1,1162197,2009-05-12T10:50:00Z
34374871,De Idstaaner,17068,1,1162197,2009-05-12T10:50:00Z
34374872,De Idstaaner,17068,1,1162197,2009-05-12T10:50:00Z
34374873,De Idstaaner,17068,1,1162197,2009-05-12T10:50:00Z
34374874,De Idstaaner,17068,1,1162197,2009-05-12T10:50:00Z
34374875,De Idstaaner,17068,1,1162197,2009-05-12T10:50:00Z
34374876,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374877,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374878,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374879,De Idstaaner,17068,2,1164284,2009-05-12T14:18:49Z
34374880,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374881,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374882,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374883,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374884,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374885,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374886,De Idstaaner,17068,1,1162197,2009-05-12T10:50:01Z
34374887,ww9980,2740122,4,36943436,2016-02-01T19:02:55Z
34374888,hashcd,2010272,3,24979267,2014-08-24T13:40:13Z
34374889,fdulezi,2214848,4,35707465,2015-12-02T14:37:35Z
34374890,hashcd,2010272,3,24979267,2014-08-24T13:40:13Z
34380668,yangjiaozhongshihei,3614011,14,43559442,2016-11-11T13:41:36Z
34380675,yangjiaozhongshihei,3614011,16,43842644,2016-11-21T10:00:14Z
34412222,Popolon,27454,3,14142709,2012-12-03T18:39:28Z
34412223,BaKaUma,6946532,2,53812575,2017-11-15T18:36:26Z
34412224,De Idstaaner,17068,2,4009196,2010-03-01T14:53:18Z
34412225,BaKaUma,6946532,4,53812575,2017-11-15T18:36:26Z
34412226,BaKaUma,6946532,2,53812575,2017-11-15T18:36:26Z
34412227,De Idstaaner,17068,1,1173748,2009-05-13T11:22:25Z
34412228,fdulezi,2214848,2,56651661,2018-02-25T04:27:56Z
34412229,De Idstaaner,17068,1,1173748,2009-05-13T11:22:25Z
34412230,De Idstaaner,17068,1,1173748,2009-05-13T11:22:25Z
34412231,De Idstaaner,17068,1,1173748,2009-05-13T11:22:26Z
34412232,De Idstaaner,17068,1,1173748,2009-05-13T11:22:26Z
34412233,De Idstaaner,17068,1,1173748,2009-05-13T11:22:26Z
34412235,De Idstaaner,17068,1,1173748,2009-05-13T11:22:26Z
34412236,De Idstaaner,17068,1,1173748,2009-05-13T11:22:26Z
34412237,fdulezi,2214848,6,28729540,2015-02-09T15:01:48Z
37953286,yangjiaozhongshihei,3614011,3,43671979,2016-11-15T14:24:23Z
37953288,yangjiaozhongshihei,3614011,3,43671979,2016-11-15T14:24:23Z
37953291,NZGraham,1224467,6,40436988,2016-07-02T10:14:05Z
37953294,yangjiaozhongshihei,3614011,13,44315083,2016-12-11T02:47:26Z
38804787,flierfy,445671,25,45619825,2017-01-29T13:10:04Z
38804865,flierfy,445671,5,45619825,2017-01-29T13:10:05Z
38804930,fdulezi,2214848,8,28750524,2015-02-10T13:42:00Z
38805059,snow_sword_SZJ,2506922,2,38828428,2016-04-24T08:42:28Z
38805094,snow_sword_SZJ,2506922,7,38828428,2016-04-24T08:42:28Z
38991909,flierfy,445671,20,45613229,2017-01-29T07:52:12Z
39947472,Popolon,27454,3,10038556,2011-12-04T23:09:47Z
39947489,flierfy,445671,11,45619825,2017-01-29T13:10:05Z
39947502,katpatuka,17497,1,2333586,2009-09-01T07:11:29Z
39947505,katpatuka,17497,2,2333586,2009-09-01T07:11:39Z
39948159,flierfy,445671,4,45619825,2017-01-29T13:10:05Z
39948160,flierfy,445671,6,45619825,2017-01-29T13:10:05Z
39948167,flierfy,445671,7,45619825,2017-01-29T13:10:05Z
39948168,fdulezi,2214848,4,28750524,2015-02-10T13:41:59Z
39948213,42429,42429,4,15315462,2013-03-10T14:20:16Z
39948216,fdulezi,2214848,6,28750524,2015-02-10T13:41:59Z
39948217,katpatuka,17497,5,3874691,2010-02-14T15:20:52Z
39948218,wangchun,13721,4,3300560,2009-12-06T05:48:04Z
39948220,fdulezi,2214848,4,28750524,2015-02-10T13:42:01Z
39948221,42429,42429,5,15315462,2013-03-10T14:19:40Z
39948225,greecemapper,23785,4,28617933,2015-02-04T20:03:24Z
39948228,katpatuka,17497,4,3874691,2010-02-14T15:20:52Z
39948229,wangchun,13721,3,3300560,2009-12-06T05:48:05Z
39948231,katpatuka,17497,4,3874691,2010-02-14T15:20:52Z
39948245,sn0wblind,258977,5,30228773,2015-04-15T07:59:28Z
39948251,sn0wblind,258977,5,53501542,2017-11-04T11:22:32Z
39948299,42429,42429,3,15315462,2013-03-10T14:19:15Z
39948300,42429,42429,5,15315462,2013-03-10T14:18:52Z
39948928,gnastyle,1595233,25,51922978,2017-09-10T23:15:52Z
39949221,yangjiaozhongshihei,3614011,7,45916538,2017-02-08T13:23:52Z
39949222,Tcharvasky,872239,9,17382886,2013-08-17T12:23:19Z
39949223,yangjiaozhongshihei,3614011,7,43468225,2016-11-07T16:38:54Z
39949252,yangjiaozhongshihei,3614011,6,43468225,2016-11-07T16:38:54Z
39950378,ff5722,3450290,18,45372569,2017-01-22T16:11:11Z
40016147,yangjiaozhongshihei,3614011,15,42978054,2016-10-18T08:39:51Z
40016174,xiaodaijun,6088992,8,49093168,2017-05-30T06:17:06Z
40016175,yangjiaozhongshihei,3614011,11,42053164,2016-09-10T06:16:09Z
40016182,yangjiaozhongshihei,3614011,10,51496361,2017-08-28T03:26:03Z
40016187,acette,114,12,56309995,2018-02-13T01:50:37Z
40016192,yangjiaozhongshihei,3614011,19,41560000,2016-08-19T16:31:37Z
40016195,yangjiaozhongshihei,3614011,7,42090376,2016-09-12T02:04:42Z
40016198,yangjiaozhongshihei,3614011,11,51496361,2017-08-28T03:26:03Z
40016208,yangjiaozhongshihei,3614011,8,42090376,2016-09-12T02:04:41Z
40016211,yangjiaozhongshihei,3614011,15,54809039,2017-12-21T09:41:10Z
40016214,yangjiaozhongshihei,3614011,8,42092237,2016-09-12T06:16:45Z
40016219,Tcharvasky,872239,4,16492720,2013-06-10T09:15:09Z
40016236,yangjiaozhongshihei,3614011,6,51496361,2017-08-28T03:26:03Z
40016583,jamesks,2500,19,51704144,2017-09-03T22:55:21Z
40018843,yangjiaozhongshihei,3614011,13,53528076,2017-11-05T13:21:07Z
40020600,yangjiaozhongshihei,3614011,9,43214745,2016-10-27T10:50:24Z
40020604,yangjiaozhongshihei,3614011,5,43369185,2016-11-03T03:32:34Z
40020605,yangjiaozhongshihei,3614011,6,42265324,2016-09-19T09:20:50Z
40020608,yangjiaozhongshihei,3614011,6,42265278,2016-09-19T09:18:59Z
40020609,yangjiaozhongshihei,3614011,31,42508271,2016-09-29T02:07:21Z
40020610,yangjiaozhongshihei,3614011,13,42978354,2016-10-18T08:54:51Z
40026407,DASANBANDIGUO,5063414,8,44899102,2017-01-04T13:52:25Z
40026432,DASANBANDIGUO,5063414,12,44899102,2017-01-04T13:52:25Z
40026436,luschi,1714220,11,51313877,2017-08-21T17:53:38Z
40026445,snow_sword_SZJ,2506922,8,41120756,2016-07-30T01:58:52Z
40026463,acette,114,9,49616854,2017-06-17T15:16:32Z
40026468,acette,114,6,49615841,2017-06-17T14:26:47Z
40026475,fdulezi,2214848,6,25536772,2014-09-19T08:34:17Z
40031831,yangjiaozhongshihei,3614011,7,41536470,2016-08-18T15:33:54Z
40033595,yangjiaozhongshihei,3614011,9,42889053,2016-10-14T07:55:49Z
40033597,yangjiaozhongshihei,3614011,13,42548141,2016-09-30T17:31:45Z
40033599,yangjiaozhongshihei,3614011,9,42548443,2016-09-30T17:45:51Z
40033600,yangjiaozhongshihei,3614011,8,41559843,2016-08-19T16:22:46Z
40033626,yangjiaozhongshihei,3614011,14,42547588,2016-09-30T17:03:15Z
40047062,yangjiaozhongshihei,3614011,7,41958708,2016-09-06T15:53:22Z
40047067,yangjiaozhongshihei,3614011,7,43764000,2016-11-18T12:15:47Z
40047071,Tcharvasky,872239,8,22143852,2014-05-05T10:27:27Z
40047073,yangjiaozhongshihei,3614011,7,41570546,2016-08-20T06:11:00Z
40047075,yangjiaozhongshihei,3614011,8,42303060,2016-09-20T16:18:39Z
40047085,yangjiaozhongshihei,3614011,15,42791110,2016-10-11T03:06:38Z
40047086,yangjiaozhongshihei,3614011,31,42611037,2016-10-03T17:29:13Z
40096298,yangjiaozhongshihei,3614011,13,41716624,2016-08-26T14:51:02Z
40096299,acette,114,7,53924508,2017-11-19T14:44:56Z
40096303,yangjiaozhongshihei,3614011,11,41872076,2016-09-02T16:10:27Z
40096304,yangjiaozhongshihei,3614011,10,42053164,2016-09-10T06:16:09Z
