id,key,value,type
9761876,source,PGS,regular
9761876,waterway,riverbank,regular
9762579,source,PGS,regular
9763625,source,PGS,regular
9763826,ship,yes,regular
9763826,source,PGS,regular
9763826,waterway,riverbank,regular
9764084,source,PGS,regular
9765933,place,islet,regular
9767063,source,PGS,regular
9768011,source,PGS,regular
9772653,source,PGS,regular
9772653,waterway,riverbank,regular
24617126,highway,trunk,regular
24617126,lanes,3,regular
24617126,layer,-1,regular
24617126,oneway,yes,regular
24617126,tunnel,yes,regular
25680211,fixme,dodgy trace to way conversion,regular
25680211,highway,motorway_link,regular
25680211,name:en,Xinggang Middle Road,regular
25680211,oneway,yes,regular
25696932,highway,motorway_link,regular
25696932,oneway,yes,regular
26902123,highway,motorway,regular
26902123,lanes,3,regular
26902123,maxspeed,80,regular
26902123,name,guangzhouhuanchenggaosu,regular
26902123,name:en,Guangzhou Ring Expressway,regular
26902123,name:zh,guangzhouhuanchenggaosu,regular
26902123,oneway,yes,regular
26902123,ref,S81,regular
26902123,toll,yes,regular
26902126,bridge,viaduct,regular
26902126,highway,motorway_link,regular
26902126,layer,1,regular
26902126,oneway,yes,regular
26908499,highway,motorway_link,regular
26908499,oneway,yes,regular
27317865,bridge,yes,regular
27317865,highway,trunk,regular
27317865,lanes,3,regular
27317865,layer,1,regular
27317865,name,haiyindaqiao,regular
27317865,name:en,Haiying Bridge,regular
27317865,name:zh_pinyin,hǎi yìn dà qiáo,regular
27317865,oneway,yes,regular
27317901,highway,primary,regular
27317901,name,nantianlu,regular
27317901,oneway,yes,regular
27317938,highway,primary,regular
27317938,name,tongqinglu,regular
27317938,oneway,yes,regular
27318112,highway,secondary,regular
27318112,name,zhujiangxilu,regular
27318112,name:en,Zhujiang Road West,regular
27318112,name:zh,zhujiangxilu,regular
27318112,name:zh_pinyin,zhū jiāng xī lù,regular
27318112,oneway,yes,regular
27318117,highway,secondary_link,regular
27318117,oneway,yes,regular
27318126,highway,secondary,regular
27318126,name,huaxialu,regular
27318126,name:en,Huaxia Road,regular
27318126,name:zh_pinyin,huá xià lù,regular
27318126,oneway,yes,regular
27318149,highway,secondary,regular
27318149,name,qianjinlu,regular
27318149,name:en,Qianjing Road,regular
27318149,oneway,yes,regular
27318168,highway,secondary,regular
27318168,name,yanyulu,regular
27318168,name:en,Yan Yu Road (Mist Road),regular
27318168,name:zh_pinyin,yān yǔ lù,regular
27318168,oneway,yes,regular
27318174,highway,residential,regular
27318174,name,qinglanlu,regular
27318174,name:en,Qing Lan Road,regular
27318174,name:zh_pinyin,qíng lán lù,regular
27318174,oneway,yes,regular
27336684,highway,secondary,regular
27336684,name,xingangdonglu,regular
27336684,name:en,Xingang East Road,regular
27336684,oneway,yes,regular
27336684,source,Yahoo hires,regular
27336706,highway,tertiary,regular
27336706,name,jilixiadao,regular
27336730,highway,unclassified,regular
27336730,name,qingbolu,regular
27336730,name:en,Qing Bo Road,regular
27336730,name:zh_pinyin,qíng bō lù,regular
27336736,highway,residential,regular
27336746,highway,residential,regular
27336772,highway,residential,regular
27336772,name,haishanjie,regular
27336775,highway,residential,regular
27336775,oneway,yes,regular
27336776,highway,residential,regular
27336776,oneway,yes,regular
27336782,highway,residential,regular
27336782,name,yuchangjie,regular
27336782,name:en,Yu Chang Street,regular
27336782,name:zh_pinyin,yú chàng jiē,regular
27336785,highway,unclassified,regular
27336876,highway,service,regular
27336876,motor_vehicle,private,regular
27336876,oneway,yes,regular
27384557,bridge,viaduct,regular
27384557,highway,trunk,regular
27384557,layer,2,regular
27384557,name,neihuanlu,regular
27384557,oneway,yes,regular
29117856,area,yes,regular
29117856,building,yes,regular
29117856,name,guangdongyazhouguojidajiudian,regular
29117856,tourism,hotel,regular
29118093,highway,secondary,regular
29118093,name,huaxialu,regular
